"Config Name","Question Index","Question","Expected Answer"
"config_1","1","What is the status of the oldest ticket that was once reassigned?","done"
"config_1","2","Who is the lead of that oldest reassigned ticket?","charlie"
"config_1","3","How many tickets are currently done?","5"
"config_2","1","What is the status of the oldest ticket that was once reassigned?","done"
"config_2","2","Who is the lead of that oldest reassigned ticket?","charlie"
"config_2","3","How many tickets are currently done?","5"
"config_3","1","Analyzing the tickets and other pertinent context, answer the following question: What was the original authentication feature that got cancelled, why was it cancelled, and what alternative solution was implemented instead? Provide your answer in the format: [FINAL ANSWER] <original feature>, <cancellation reason>, <alternative solution>","social login integration, security vulnerability in OAuth implementation, multi-factor authentication with email verification"
"config_4","1","What was the original authentication feature that got cancelled, why was it cancelled, and what alternative solution was implemented instead? Provide your answer in the format: [FINAL ANSWER] <original feature>, <cancellation reason>, <alternative solution>","social login integration, security vulnerability in OAuth implementation, multi-factor authentication with email verification"
"config_5","1","After the performance monitoring rollback, what happened to the auto-scaling feature that depended on it, and what was the final solution? Provide your answer in the format: [FINAL ANSWER] <what happened to auto-scaling>, <final solution>","split into separate lightweight metrics collection, simplified rule-based auto-scaling with basic CPU metrics"
"config_5","2","What was the root cause of the monitoring system rollback, and which team led the rollback decision? Provide your answer in the format: [FINAL ANSWER] <root cause>, <team that led rollback>","database performance degradation from 50x more queries, platform team"
"config_5","3","How did the alerts dashboard project end up being handled differently from the auto-scaling project after the rollback? Provide your answer in the format: [FINAL ANSWER] <alerts dashboard outcome>, <auto-scaling outcome>","cancelled and replaced with simple alerts interface, split into basic and advanced versions"
"config_bootstrap_darkmode_crisis","1","Following sarah_martinez's initial announcement about tracking Bootstrap's progress, through david_chen's research on their implementation, to the final implementation completion: what specific data attribute name did Bootstrap use for their theme switching mechanism that our team adopted?","data-theme"
"config_bootstrap_darkmode_crisis","2","Starting from alex_rodriguez's request for commit details, through david_chen's git history investigation, to the final documentation of Bootstrap's implementation: what is the exact merge commit hash that contains Bootstrap's dark mode implementation?","fc3f4b67d65c575daa661ecf31cf59b4ff3cced5"
"config_bootstrap_darkmode_crisis","3","Tracing from sarah_martinez's request for CSS variable information, through david_chen's analysis of Bootstrap's naming conventions, to the implementation decisions: what is the exact name of the secondary background CSS variable that Bootstrap introduced for their dark mode system?","--bs-secondary-bg"
"config_bootstrap_darkmode_crisis","4","Following david_chen's investigation of Bootstrap's PR impact, through alex_rodriguez's question about issue resolution, to the final assessment: how many separate GitHub issues did Bootstrap's dark mode implementation resolve according to the team's analysis?","11"
"config_bootstrap_darkmode_crisis","5","Starting from sarah_martinez's inquiry about the original author, through alex_rodriguez's contributor research, to the final identification: who was the primary author of Bootstrap's dark mode implementation?","Mark Otto"
"config_browser_use_timeout_crisis","1","What specific DOM method name caused the automation failures that started last Tuesday?","scrollIntoViewIfNeeded"
"config_browser_use_timeout_crisis","2","On which line number does the email input selector first appear?","39"
"config_browser_use_timeout_crisis","3","How many timeout parameters needed adjustment? (provide count as integer)","4"
"config_browser_use_timeout_crisis","4","When was the critical fix implemented? (provide date in YYYYMMDD format)","20250826"
"config_browser_use_timeout_crisis","5","What line number contains the main timeout configuration parameter?","640"
"config_kaggle_sdk_crisis","1","Based on sarah_chen's vague mention of 'lines 180-200' and 'exception handling code', clone the repository and examine the source: how many total Python files in the entire mlebench/ directory (including subdirectories) contain any import statement that references the kaggle package?","9"
"config_kaggle_sdk_crisis","2","Following conversations about 'competition-specific modules' and 'experiments directory', investigate the actual repository structure: what is the exact filename (without path) of the Python file in the mlebench/competitions/ subdirectory that contains the longest individual function by line count?","prepare.py"
"config_kaggle_sdk_crisis","3","After correlating references to 'data preparation pipeline' and 'dataset download functionality', analyze the repository code: what is the total number of function definitions (def statements) in the mlebench/data.py file?","14"
"config_kaggle_sdk_crisis","4","Through investigation of discussions about 'multiple kaggle imports' and examining the actual codebase structure: in how many distinct Python files throughout the entire repository does the exact string 'import kaggle' appear (including 'import kaggle.' variants)?","3"
"config_kaggle_sdk_crisis","5","Following clues about 'core mlebench modules' and checking the repository's package structure: what is the combined total number of .py files in both the mlebench/ directory and the tests/ directory?","194"
"config_langflow_composio_crisis","1","What specific file type did sandesh_kumar need to sync from the main branch to resolve his import errors?","uv.lock"
"config_langflow_composio_crisis","2","What is the exact phrase david_wong used to describe the core problem causing environment inconsistencies?","dependency snapshot drift"
"config_langflow_composio_crisis","3","On which specific date (in YYYY-MM-DD format) was the 'Backend Startup Failure - Development Blocked' Linear ticket marked as completed?","2025-08-22"
"config_nemo_run_cli_crisis","1","Mike mentioned something about a default value he set in model configuration. Sarah referenced 'the specific case from the ticket' but never stated what it was. David mentioned finding 'the issue' but was vague about location details. By correlating across all these conversations and investigating the codebase, determine: what is the sum of all numeric values that appear as default parameters in factory function definitions within the test files?","547"
"config_nemo_run_cli_crisis","2","The team discussed a conversion method and David said 'the line number is in the ticket I'm updating', but the ticket descriptions are vague. Sarah mentioned 'that conversion method David mentioned last month' without naming it. By piecing together the timeline and cross-referencing the repository, determine: how many total function definitions exist in the file that contains this conversion method?","54"
"config_nemo_run_cli_crisis","3","Throughout the conversations, team members made indirect references to test methods and files without being explicit. David mentioned following 'our convention' for test naming. By analyzing the conversation patterns and repository structure, determine: what is the total count of files that contain factory-related test methods?","7"
"config_nemo_run_cli_crisis","4","The team communicated about a bug resolution timeline with vague date references like 'today', 'last month', and 'this afternoon'. By parsing all temporal references in context and correlating with the event timeline, determine: on what date did Sarah first report the factory function conversion issue?","20250515"
"config_nemo_run_cli_crisis","5","Multiple conversations referenced configuration values, default parameters, and batch sizes across different contexts. By correlating Mike's early comment about batch size with the actual repository structure at the specified commit, determine: what is the exact line number where the first occurrence of the number 32 appears in any Python file within the nemo_run directory?","142"
"config_plexe_autoscroll_crisis","1","Starting from vaibs_d's Slack announcement about the smart auto-scroll feature being live, find the Linear ticket that tracks this completion, extract the associated milestone name, then determine: which team member was originally assigned as lead for the first ticket created under that milestone?","sarah_kim"
"config_plexe_autoscroll_crisis","2","Following sarah_kim's reference to documenting 'that version we discussed in yesterday's design review', trace through Linear to find the version documentation ticket, get its expected_finish_date, then check repository commit history: what is the exact commit message of the commit made closest to (but not after) that expected finish date?","fix: multi-agent mermaid chart (#138)"
"config_plexe_autoscroll_crisis","3","Trace the progression from the initial UX enhancement initiative ticket through to completion: extract the milestone completion percentage when the PR was marked as done, then examine the repository at the merge commit hash mentioned in that ticket's attached_resources: what is the exact function name that handles scroll position detection in the modified file?","handleScroll"
"config_plexe_autoscroll_crisis","4","Starting from kevin_park's analysis of git history mentioning commit b9c8d7e6f5a4b3c2d1e0f9g8h7i6j5k4l3m2n1o0, find the Linear ticket that references this commit in its description, extract the team assigned to that ticket, then determine: what was the priority level of the most recent ticket created by the lead of that team before the auto-scroll feature was completed?","medium"
"config_pw_1","1","There is a recent bug reported by a PM. Look through all the Slack, Linear and Git history and find the cause of this issue and suggest a fix. Your output should be in the following format: [Cause]  <comma separated status of the oldest tickets that cause the issue>, [fix] <suggestions for fix>","[Cause] Git pr # 428 , [Fix] revert the change of limiting the creation of new tabs"
"config_pw_2","1","When the feature is implemented, the PM reported that the feature is not working as expected. Look through all the Slack, Linear and Git history and find the cause of this issue. You must submit the answer in the following format: [Events] <comma separated list of the Slack, Linear and Git events, reprsented by Slack|Git|Linear:timestamp, Linear:timestamp, Git:timestamp, sorted by the timestamp of the event>","[Events]  Slack:20250301T0900, Slack:20250301T1000, Slack:20250302T0900, Git:20250305T1500, Linear: 2025-20250308T1000"
"config_pw_2","2","What is the latency of the latest implmentation? You must submit the answer in the following format: [Latency] <latency in seconds or milliseconds>","[Latency] 1.5s"
"config_pw_2","3","Based on all the discussions, where do product description to search for come from? You must submit the answer in the following format: [Search Product Description Source] <source of the product description>","[Search Product Description Source] Product description to search for is from user queries"
